name,temperature,humidity,cloudiness,wind_speed,latitude,longitude
Mayo,9.91,62,1,1.5,38.89,-76.51
Hamilton,5.93,87,90,7.7,39.18,-84.53
Xining,13.09,16,0,1.26,36.62,101.77
Bambous Virieux,25.0,83,75,5.7,-20.34,57.76
Hobart,13.15,47,75,4.6,-42.88,147.33
Hilo,24.1,57,90,3.6,19.73,-155.09
Vostok,9.12,51,100,0.99,46.49,135.88
Monrovia,27.59,87,100,3.18,6.3,-10.8
Yellowknife,-4.22,68,75,3.1,62.46,-114.35
Lebu,15.99,94,100,1.65,-37.62,-73.65
Thompson,-2.0,92,90,7.2,55.74,-97.86
Brigantine,10.7,62,90,5.7,39.41,-74.36
Tucuruí,22.13,95,96,0.67,-3.77,-49.67
Kavieng,28.32,71,60,1.97,-2.57,150.8
Port Alfred,17.78,94,55,1.34,-33.59,26.89
Casino,25.0,49,100,2.1,-28.87,153.05
East London,19.01,84,12,5.06,-33.02,27.91
Port Macquarie,23.89,54,100,0.45,-31.43,152.92
Kirakira,28.7,73,99,0.51,-10.45,161.92
Upernavik,-5.79,90,98,1.83,72.79,-56.15
Fortuna,11.14,93,1,2.6,40.6,-124.16
Touros,25.0,94,40,2.6,-5.2,-35.46
Margate,8.52,96,99,3.58,51.38,1.39
Jiayuguan City,12.53,21,14,1.24,39.82,98.3
Esperance,27.0,32,90,8.2,-33.87,121.9
Hasaki,14.1,100,75,12.3,35.73,140.83
Pacifica,11.99,66,75,4.6,37.61,-122.49
Eureka,11.47,82,33,2.24,40.8,-124.16
Yenagoa,25.44,94,100,1.9,4.92,6.26
Lebowakgomo,14.99,93,90,5.1,-24.2,29.5
Ust-Kuyga,-16.65,85,4,2.62,70.02,135.6
Tuktoyaktuk,-10.0,92,90,5.7,69.45,-133.04
Saldanha,12.0,81,8,2.6,-33.01,17.94
Rocha,13.88,91,0,2.09,-34.48,-54.33
Butaritari,27.96,80,82,6.62,3.07,172.79
Dunedin,12.82,85,99,0.89,-45.87,170.5
Mahabalipuram,30.52,74,40,3.1,12.63,80.17
Puerto Ayora,24.44,93,82,0.45,-0.74,-90.35
Forécariah,26.15,79,100,2.19,9.43,-13.09
Coari,23.55,94,51,0.36,-4.08,-63.14
Safi,16.56,78,77,3.16,32.3,-9.24
Herat Province,14.0,58,0,3.24,34.5,62.0
Cradock,11.9,33,20,0.8,-32.16,25.62
Pacific Grove,12.8,67,90,2.1,36.62,-121.92
Labuhan,30.98,67,45,1.67,-6.88,112.21
Ust'-Ordynskiy,2.0,100,90,6.0,52.8,104.75
Kedrovyy,8.0,49,0,2.0,56.17,91.82
Agüimes,18.46,72,40,1.0,27.91,-15.45
Resistencia,14.95,100,0,1.0,-27.46,-58.98
Narsaq,-2.0,63,69,4.1,60.92,-46.05
Port Hardy,9.0,87,75,4.1,50.7,-127.42
Moerai,27.19,72,100,1.75,-22.43,-151.33
Arraial do Cabo,23.22,70,73,4.63,-22.97,-42.03
San Cristobal,20.13,54,88,0.77,7.77,-72.22
Ballina,24.91,65,40,3.6,-28.87,153.57
Okhotsk,-5.12,92,100,2.55,59.38,143.3
Huarmey,22.96,75,75,3.26,-10.07,-78.15
Jumla,13.17,27,82,1.43,29.27,82.18
Soyo,25.79,87,98,0.38,-6.13,12.37
Alta Floresta,22.03,91,100,1.06,-9.88,-56.09
Dikson,-3.82,97,91,6.66,73.51,80.55
Mach,19.35,32,48,2.0,29.86,67.33
Taoudenni,30.55,23,37,1.6,22.68,-3.98
Chapais,-9.0,92,20,1.5,49.78,-74.85
Atuona,27.97,75,84,5.84,-9.8,-139.03
Padang,30.64,62,38,0.22,-0.95,100.35
Novosokol'niki,0.84,88,97,5.11,56.35,30.16
Mukhtolovo,-0.2,91,43,3.44,55.46,43.2
Tadine,25.94,60,36,4.22,-21.55,167.88
Whitehorse,11.0,40,75,3.6,60.72,-135.05
Yumen,13.77,21,1,2.21,40.28,97.2
Babayurt,9.24,71,100,0.85,43.6,46.78
Mokokchūng,23.19,40,28,0.93,26.33,94.53
Mountain Home,9.87,34,1,2.6,43.13,-115.69
Sisimiut,-4.52,94,99,3.48,66.94,-53.67
Ceres,17.29,63,90,4.1,37.59,-120.96
Manacapuru,25.0,88,75,2.6,-3.3,-60.62
Ribeira Grande,15.69,80,67,5.7,38.52,-28.7
Semīrom,5.24,36,0,0.97,31.42,51.57
Harper,27.37,87,97,4.74,4.38,-7.72
Nome,1.85,100,90,4.6,64.5,-165.41
Oleksandrivka,9.44,99,76,2.25,46.84,32.76
Marabba,24.09,14,53,4.2,12.35,32.18
Shingū,18.0,63,75,5.7,33.73,135.98
Detchino,0.0,93,1,5.0,54.81,36.31
Binga,23.5,52,45,2.04,-17.62,27.34
Algiers,17.0,93,75,1.5,36.75,3.04
Boguchany,3.74,69,36,3.04,58.38,97.45
Saint George,20.51,26,40,2.6,37.1,-113.58
Yangi Marg`ilon,16.29,51,30,1.0,40.43,71.72
Saint-Augustin,-4.65,90,100,4.12,51.23,-58.65
Dunda,17.9,66,55,1.78,-8.12,34.25
Tasiilaq,2.0,55,73,6.2,65.61,-37.64
Djebeniana,17.0,100,58,4.57,35.03,10.91
Asău,9.42,53,99,1.5,46.43,26.4
Luganville,29.0,79,75,3.1,-15.53,167.17
Vikulovo,11.44,53,100,6.18,56.82,70.61
Mubende,16.56,68,100,0.56,0.56,31.39
Pitimbu,25.0,100,20,1.05,-7.47,-34.81
Saint-Leu,20.47,73,0,4.6,-21.15,55.28
Coyhaique,12.0,66,62,1.0,-45.58,-72.07
Peachtree City,13.41,82,1,2.32,33.4,-84.6
Little Current,-1.31,80,1,4.1,45.98,-81.92
Okato,16.56,59,15,4.47,-39.2,173.88
Kirkwall,4.1,86,0,2.6,58.98,-2.96
Almeirim,23.05,98,100,0.81,-1.52,-52.58
Saint-Joseph,20.34,73,17,4.6,-21.37,55.62
Santo Antônio do Monte,17.53,74,71,4.09,-20.09,-45.29
Oistins,26.0,74,40,7.2,13.07,-59.53
Urusha,-0.92,64,100,4.37,54.05,122.9
Port Elizabeth,16.0,87,20,2.1,-33.92,25.57
Kaitangata,12.4,78,96,8.49,-46.28,169.85
Zaragoza,15.0,87,75,1.5,41.66,-0.88
Sangar,-7.42,77,0,1.21,63.92,127.47
Santoña,12.1,93,25,1.8,43.44,-3.46
Sakakah,17.0,55,20,5.1,29.97,40.21
La Romana,23.66,100,20,3.1,18.43,-68.97
Norman Wells,4.0,60,90,1.0,65.28,-126.83
Grand-Bourg,25.0,83,20,2.1,15.88,-61.31
Bossangoa,25.18,60,79,2.78,6.49,17.46
Virginia Beach,16.97,59,1,8.7,36.85,-75.98
Mukhen,15.49,36,24,2.32,48.1,136.1
Souillac,25.0,83,75,5.7,-20.52,57.52
Yala,31.0,70,20,4.1,6.33,101.25
Mossamedes,23.21,71,81,2.68,-15.2,12.15
Saskylakh,-12.94,88,0,2.23,71.92,114.08
Pevek,-13.18,93,23,4.14,69.7,170.31
Port Lincoln,18.56,60,39,5.56,-34.73,135.87
Constitución,15.35,89,1,3.89,-35.33,-72.42
Severobaykal'sk,0.85,70,93,2.49,55.65,109.32
Laas,7.78,56,93,0.7,46.62,10.7
Pisco,21.29,77,3,5.1,-13.7,-76.22
Turan,28.0,78,75,0.5,16.07,108.22
Ancud,13.0,100,90,2.6,-41.87,-73.82
Champerico,28.96,69,39,1.96,14.3,-91.92
Mazatlán,21.75,88,5,2.25,23.22,-106.42
Sorong,31.2,66,25,0.34,-0.88,131.25
Subiaco,11.06,83,25,1.01,41.93,13.09
Yankton,6.32,45,1,2.6,42.87,-97.4
Chui,15.9,83,2,2.4,-33.7,-53.46
Tabas,19.0,42,86,4.1,33.6,56.92
Horqueta,16.13,46,100,1.58,-23.34,-57.06
Tortolì,13.68,100,75,6.2,39.93,9.66
Tokur,0.04,63,58,1.98,53.13,132.9
Cachoeira do Sul,14.11,95,9,1.91,-30.04,-52.89
Nikolskoye,1.79,89,75,6.0,59.7,30.79
Alice Springs,27.0,28,75,4.6,-23.7,133.88
Zhezkazgan,12.0,37,0,5.0,47.8,67.71
Nosy Varika,21.65,89,47,2.26,-20.58,48.53
Mangai,21.16,87,92,0.42,-4.05,19.53
Edd,30.33,59,22,4.97,13.93,41.69
Pozo Colorado,16.09,47,100,2.34,-23.49,-58.8
Faya,15.0,93,0,2.1,18.39,42.45
Carnarvon,28.0,69,95,4.6,-24.87,113.63
Clyde River,-13.0,84,90,7.7,70.47,-68.59
Tezu,29.68,36,24,1.33,27.92,96.17
Codrington,14.73,64,100,3.13,-38.27,141.97
Necochea,14.05,86,2,4.02,-38.55,-58.74
São Filipe,21.18,76,0,8.27,14.9,-24.5
Brae,1.3,67,0,2.17,60.4,-1.35
Pavino,0.76,90,100,0.92,59.11,46.14
Faanui,28.25,67,100,1.78,-16.48,-151.75
Dudinka,0.0,91,100,12.0,69.41,86.18
Caçu,18.25,79,27,1.28,-18.56,-51.13
Kumul,19.26,19,22,2.73,42.8,93.45
Bredasdorp,10.33,87,100,2.1,-34.53,20.04
Luangwa,23.08,72,11,3.19,-15.62,30.42
Adrar,28.49,22,80,4.81,20.5,-10.07
Neiafu,26.0,88,75,3.1,-18.65,-173.98
Itoman,25.82,73,40,5.7,26.12,127.67
Kampot,31.0,66,20,3.1,10.62,104.18
Bac Lieu,30.45,65,66,4.55,9.29,105.72
Upata,23.78,68,88,2.89,8.01,-62.4
Kavaratti,30.0,74,20,2.1,10.57,72.64
Ekhabi,-3.2,92,100,5.4,53.51,142.97
Noyabrsk,4.86,93,99,9.28,63.2,75.45
Adeje,15.69,63,40,0.5,28.12,-16.73
Severo-Yeniseyskiy,4.11,69,83,0.67,60.37,93.04
Geraldton,28.69,35,58,2.1,-28.77,114.6
Karratha,33.56,35,74,1.92,-20.74,116.85
Banda Aceh,29.46,69,92,1.47,5.56,95.32
Finschhafen,29.14,71,72,2.21,-6.6,147.87
Olafsvik,5.72,84,100,12.54,64.89,-23.71
Bam,19.41,30,1,1.41,29.11,58.36
Lesnoy,4.54,86,100,4.46,57.62,63.08
Union,6.05,81,90,2.66,40.63,-74.27
Saint Paul Harbor,10.0,76,90,5.7,57.79,-152.41
Husavik,7.0,73,0,12.9,66.04,-17.34
Disna,-0.32,92,4,4.9,55.57,28.2
Severo-Kuril'sk,0.51,92,8,5.79,50.68,156.12
Cosalá,19.44,92,0,0.36,24.41,-106.69
Tura,25.01,70,93,2.29,25.52,90.22
Hong Kong,26.13,61,100,3.58,22.29,114.16
Turaif,12.0,81,0,3.6,31.67,38.66
Najrān,21.0,73,5,1.5,17.49,44.13
Arlit,26.73,13,0,2.34,18.74,7.39
Lábrea,23.08,94,23,0.77,-7.26,-64.8
Henties Bay,13.89,94,1,4.32,-22.12,14.28
Aksarka,0.47,97,97,3.19,66.56,67.8
Neos Marmaras,9.33,62,0,0.99,40.1,23.78
Mackenzie,7.0,56,90,3.6,55.3,-123.17
Killorglin,10.05,92,100,2.83,52.1,-9.78
Oktyabr'skoye,7.88,44,100,0.83,43.06,44.74
Olinda,26.0,88,40,0.79,-8.01,-34.86
Boyuibe,15.36,52,25,1.37,-20.42,-63.28
Silvânia,20.44,94,40,2.1,-16.66,-48.61
Tuatapere,15.56,51,34,4.02,-46.13,167.68
Guanare,26.15,59,35,1.36,9.04,-69.74
Chicama,23.41,70,18,2.77,-7.84,-79.15
Mount Gambier,15.0,72,90,5.1,-37.83,140.77
Todos Santos,19.84,75,6,0.45,23.45,-110.22
Birao,22.35,15,64,2.34,10.28,22.79
Matadi,24.07,91,98,0.36,-5.82,13.45
San Rafael,20.15,38,91,4.87,-34.62,-68.33
Rabak,24.13,15,34,4.26,13.18,32.74
Cherskiy,-11.87,91,49,4.39,68.75,161.3
Mar del Plata,15.58,87,0,4.1,-38.0,-57.56
Boa Vista,30.0,55,54,5.1,2.82,-60.67
Iisalmi,1.0,90,90,6.7,63.56,27.19
Nicoya,21.67,84,1,8.94,10.15,-85.45
Corpus Christi,23.28,100,90,5.1,27.8,-97.4
Skjervøy,1.19,93,100,8.27,70.03,20.97
Mundra,29.56,43,0,4.71,22.85,69.73
Camacha,15.71,72,20,3.6,33.08,-16.33
Vanavara,-2.37,87,86,3.68,60.34,102.28
Kushmurun,10.14,60,51,6.92,52.45,64.63
Cabo San Lucas,18.78,72,5,7.2,22.89,-109.91
Vila,8.18,100,75,2.1,42.03,-8.16
Tual,29.44,73,93,3.79,-5.67,132.75
Jijiga,17.79,55,75,2.48,9.35,42.8
Bingöl,8.25,46,0,1.0,38.88,40.49
La Reforma,29.31,39,94,3.61,18.1,-91.02
Pouembout,26.68,71,37,1.47,-21.13,164.9
Severomuysk,-5.64,69,100,3.6,56.15,113.43
Tāybād,14.39,30,15,4.87,34.74,60.78
Ukhta,1.41,94,100,2.97,63.57,53.68
Kysyl-Syr,-10.62,87,7,4.08,63.9,122.76
Riyadh,19.0,72,20,3.1,24.69,46.72
Benguela,25.45,85,78,0.65,-12.58,13.41
Shatin,7.52,37,5,0.69,39.84,45.3
Airai,22.91,52,94,1.93,-8.93,125.41
Englewood,4.88,74,13,0.45,39.65,-104.99
Lagoa,15.76,72,58,5.23,39.05,-27.98
Kanniyākumāri,29.78,66,90,0.63,8.08,77.57
Pueblo Nuevo,13.62,26,57,0.79,23.38,-105.38
Mouzourás,11.0,87,20,2.1,35.53,24.15
Merauke,31.61,61,46,2.4,-8.47,140.33
Bay Roberts,-0.8,76,57,3.36,47.6,-53.26
Atambua,28.23,67,67,1.21,-9.11,124.89
Elizabeth City,16.52,67,1,6.7,36.29,-76.25
Ilulissat,-3.0,73,100,2.1,69.22,-51.1
Areosa,12.91,100,75,2.1,41.72,-8.86
Talnakh,0.0,95,97,12.0,69.49,88.4
Durant,7.86,70,1,4.6,33.99,-96.37
Kahului,23.67,54,20,8.7,20.89,-156.47
Vardø,0.27,97,100,11.64,70.37,31.11
Ternate,29.17,75,19,1.87,0.8,127.4
Allāpalli,33.08,37,0,2.71,19.42,80.07
Vila Velha,23.94,78,90,5.1,-20.33,-40.29
Along,26.27,44,87,0.46,28.17,94.77
Ixtapa,23.0,83,5,1.0,20.7,-105.2
Natitingou,27.0,83,95,4.06,10.3,1.38
Pop,17.0,55,0,1.0,40.87,71.11
Kununurra,37.0,32,30,1.5,-15.77,128.73
Cayenne,24.0,100,90,2.95,4.93,-52.33
Ţahţā,17.57,48,90,3.6,26.77,31.5
Berlevåg,1.7,93,100,11.45,70.86,29.09
Kitgum,19.68,72,97,1.03,3.28,32.89
Malanje,18.29,71,100,1.1,-9.54,16.34
Fukuechō,16.0,67,40,5.7,32.69,128.84
Prince Rupert,10.0,81,1,2.1,54.32,-130.32
Leningradskiy,-11.63,94,100,4.66,69.38,178.42
Bukama,21.4,78,100,0.78,-9.2,25.85
Sur,26.24,75,0,2.75,22.57,59.53
Nhulunbuy,32.0,62,40,5.1,-12.23,136.77
Morbegno,12.8,40,79,0.72,46.14,9.57
Mt. Pleasant,18.19,88,40,5.84,32.79,-79.86
Gornopravdinsk,7.9,83,96,4.62,60.05,69.9
Tromsø,0.0,96,75,6.7,69.65,18.96
Nazareno,26.11,16,64,3.31,25.38,-103.42
Manono,21.35,81,100,0.78,-7.3,27.42
Ahipara,19.5,75,13,4.89,-35.17,173.17
Bianzhuang,18.14,42,67,3.35,34.85,118.04
Batagay,-17.93,83,100,1.9,67.63,134.63
Salinópolis,25.01,88,100,2.27,-0.61,-47.36
Quryq,11.59,50,78,5.33,43.2,51.65
Warrington,6.42,87,100,4.1,53.39,-2.58
Fairbanks,5.83,81,90,1.08,64.84,-147.72
Korla,17.37,33,86,4.25,41.76,86.15
Srednekolymsk,-14.82,92,100,5.83,67.45,153.68
Ca Mau,31.48,61,77,3.56,9.18,105.15
Fare,29.09,65,100,2.7,-16.7,-151.02
Sittwe,29.78,60,8,1.38,20.15,92.9
Araouane,29.75,20,0,3.39,18.9,-3.53
Sol'-Iletsk,5.68,72,78,5.31,51.16,54.99
Kindu,19.78,84,99,0.53,-2.95,25.95
Anadyr,-7.12,79,75,6.0,64.75,177.48
Bagdarin,0.37,62,100,2.39,54.43,113.6
Östersund,-1.0,86,80,6.2,63.18,14.64
Mahébourg,25.0,83,75,5.7,-20.41,57.7
Manggar,30.28,66,100,3.14,-2.88,108.27
Alofi,29.0,70,12,6.7,-19.06,-169.92
Colares,12.22,83,32,2.68,38.8,-9.45
Paamiut,-3.19,93,100,4.89,61.99,-49.67
Myitkyina,31.35,36,0,0.92,25.38,97.4
Hofn,5.69,83,100,4.47,64.25,-15.21
Dunnville,-0.56,100,99,0.45,42.9,-79.62
Udachny,-12.0,55,19,4.0,66.42,112.4
Dwārka,26.96,75,0,5.29,22.24,68.97
Mitsamiouli,28.79,70,0,5.07,-11.38,43.28
Lavrentiya,-4.87,97,100,5.91,65.58,-171.0
Saint Anthony,5.08,35,1,3.1,45.02,-93.22
Chipata,15.72,70,3,1.9,-13.63,32.65
Kenai,7.45,70,90,1.5,60.55,-151.26
Mandera,26.11,24,97,0.45,3.94,41.87
Indramayu,30.03,67,3,0.59,-6.33,108.32
Hikone,17.43,87,75,3.1,35.25,136.25
Lorengau,29.06,69,59,1.74,-2.02,147.27
Proddatūr,31.35,46,42,2.52,14.73,78.55
Naica,23.43,11,22,9.03,27.85,-105.48
Bambanglipuro,30.15,64,4,0.7,-7.95,110.28
Tamiahua,25.56,92,100,4.51,21.27,-97.45
Toora-Khem,4.16,45,38,2.42,52.47,96.11
Rawson,24.46,44,55,9.16,-43.3,-65.1
Santa Cruz de la Sierra,22.0,53,17,3.6,-17.8,-63.17
Lucapa,19.18,76,100,1.43,-8.42,20.74
Abrau-Dyurso,3.95,93,89,3.0,44.69,37.59
Haapsalu,3.62,83,0,6.71,58.94,23.54
São João da Barra,22.49,83,96,4.97,-21.64,-41.05
Nyurba,-9.55,87,100,3.34,63.28,118.33
Magomeni,25.47,88,99,6.45,-6.8,39.25
Lodja,21.4,78,98,0.5,-3.48,23.43
Guerrero Negro,16.28,77,0,7.33,27.98,-114.06
Kidal,26.86,14,21,2.03,18.44,1.41
Bangassou,21.61,84,100,1.12,4.74,22.82
Dingle,31.72,58,39,6.06,11.0,122.67
Kieta,29.3,69,13,1.18,-6.22,155.63
Sabang,28.71,69,93,1.56,5.89,95.32
Shirokiy,13.57,35,35,4.15,49.76,129.52
Luoyang,12.89,61,100,2.57,34.68,112.45
Ponta Delgada,13.0,87,20,2.1,37.73,-25.67
Luís Correia,23.89,91,100,1.08,-2.88,-41.67
Half Moon Bay,12.44,81,90,4.1,37.46,-122.43
Chuncheng,26.67,65,93,2.49,22.17,111.79
Parrita,20.06,68,20,3.1,9.52,-84.32
Rome,0.68,86,90,1.5,43.21,-75.46
Bad Doberan,0.62,80,0,1.0,54.11,11.9
Belyy Yar,8.0,49,0,1.0,53.6,91.39
College,5.47,80,90,1.5,64.86,-147.8
Nioro,23.11,34,0,5.16,13.35,-15.75
Namatanai,28.43,73,98,3.41,-3.67,152.43
Menongue,17.05,54,73,1.6,-14.66,17.69
Ust'ye,0.11,92,100,3.41,59.63,39.74
Bhādāsar,29.96,26,26,1.74,28.28,74.32
Sun City West,22.47,18,1,2.6,33.66,-112.34
Conselice,8.89,88,87,1.87,44.51,11.83
Galle,28.44,79,91,4.25,6.04,80.22
Balikpapan,32.0,66,40,3.6,-1.27,116.83
Acheng,19.18,23,40,2.0,45.55,126.98
Laufen,11.0,66,20,4.1,47.95,12.93
Mercedes,13.15,67,0,0.45,-34.65,-59.43
Jalu,16.34,56,0,3.61,29.03,21.55
Ahmadpur,34.6,21,71,3.02,18.7,76.93
Namwala,18.62,61,42,2.34,-15.75,26.44
Kalispell,12.0,27,90,1.5,48.2,-114.31
Shubarkuduk,8.17,74,72,7.18,49.14,56.49
Broken Hill,18.0,39,90,4.1,-31.95,141.43
Karibib,18.34,26,0,1.87,-21.93,15.83
Provideniya,-3.05,95,100,8.99,64.38,-173.3
Tiznit Province,12.81,66,0,0.22,29.58,-9.5
Road Town,26.11,81,0,5.36,18.42,-64.62
Ust'-Karsk,5.93,47,100,4.02,52.7,118.81
Bud,2.15,79,90,5.1,39.45,-86.18
Nyandoma,-2.76,97,91,3.0,61.67,40.2
Matara,28.95,75,93,2.97,5.95,80.54
Ossora,-1.98,90,0,4.81,59.24,163.07
Hualmay,21.66,78,100,2.96,-11.1,-77.61
Vila Franca do Campo,13.0,87,20,2.1,37.72,-25.43
Rio Grande,11.11,96,0,3.73,-32.03,-52.1
Londoko,17.97,23,6,2.31,49.03,131.98
Mackay,30.78,70,12,5.7,-21.15,149.2
Bulgan,9.02,28,19,5.34,48.81,103.53
Pundaguitan,28.03,74,21,4.27,6.37,126.17
Adiaké,28.0,88,20,2.1,5.29,-3.3
Buin,15.0,54,63,2.6,-33.73,-70.75
Plouzané,11.69,93,90,3.6,48.38,-4.62
Sembakung,32.79,55,100,1.18,3.82,117.25
Ambanja,22.92,73,9,1.81,-13.68,48.45
São José da Coroa Grande,26.87,79,78,1.59,-8.9,-35.15
Methóni,10.49,93,0,6.42,36.82,21.7
Kamina,18.11,70,100,0.87,-8.74,24.99
Las Vegas,20.4,18,20,5.1,36.17,-115.14
Borger,3.86,92,21,0.45,52.92,6.79
Hay River,0.0,96,90,3.1,60.82,-115.8
Nānākuli,27.23,61,1,4.1,21.39,-158.15
Manavālakurichi,32.0,66,20,1.5,8.13,77.3
Nizhniy Tsasuchey,14.28,28,100,7.26,50.52,115.13
Petropavlovsk-Kamchatskiy,10.0,34,0,3.0,53.05,158.65
Lompoc,12.47,82,90,3.1,34.64,-120.46
Comodoro Rivadavia,18.0,59,77,4.6,-45.87,-67.5
Tiarei,30.0,70,99,2.6,-17.53,-149.33
Svetlaya,7.08,61,82,6.27,46.54,138.33
Jacksonville,19.79,83,75,2.6,30.33,-81.66
Linhai,25.09,35,98,3.26,28.85,121.12
Dapaong,29.77,55,40,6.46,10.86,0.2
Brownwood,9.0,76,90,2.6,31.71,-98.99
Chifeng,15.86,24,0,1.52,42.27,118.96
Devils Lake,5.92,45,75,7.2,48.11,-98.87
Cap Malheureux,25.0,83,75,5.7,-19.98,57.61
Áratos,7.22,90,0,0.23,41.08,25.55
Mopipi,21.29,52,0,5.4,-21.18,24.88
Marabu,30.79,84,75,2.1,4.41,114.01
Mlowo,14.22,61,88,1.81,-9.0,32.98
Kondinskoye,6.51,79,89,4.74,59.65,67.41
Zhangjiakou,14.37,25,100,2.91,40.81,114.88
Lüderitz,11.0,93,8,1.0,-26.65,15.16
Hirara,27.0,69,40,7.7,24.8,125.28
Marsá Maţrūḩ,11.0,81,20,2.35,31.35,27.25
Ostrovnoy,-0.23,98,100,5.72,68.05,39.51
Kawalu,31.1,51,54,0.74,-7.38,108.21
Dauphin,4.4,70,100,3.47,51.15,-100.05
Paka,29.98,74,20,1.0,4.64,103.44
Ames,3.22,74,1,5.7,42.03,-93.62
Yanam,29.65,72,34,3.96,16.73,82.22
Dukat,-14.9,82,100,3.72,62.55,155.55
Kozhevnikovo,7.96,61,15,3.58,56.26,83.97
Chengde,17.21,26,100,0.58,40.97,117.94
Palmerston,32.4,70,20,3.6,-12.49,130.98
